Fe,C,Cr,Ni,Mn,Si,N,Mo,Co,P,S,Cu,W,Al,Ti,Ce,Nb,vol% sigma phase formed,Temperature(c),Onset Time(hrs),e_tot,e_tot_eV,CNT_feature
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,900.0,0.02,-449.33874126795456,-2.8047724229945726e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,875.0,0.04,-418.11972170502924,-2.6099033028827923e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,850.0,0.07,-427.9493793188666,-2.671260025708365e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,825.0,0.15,-387.21355889571026,-2.4169870346270236e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,800.0,0.35,-457.87207993286023,-2.858037522940914e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,775.0,0.55,-436.47011168657644,-2.72444643714761e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,750.0,0.75,-449.30645566332066,-2.8045708962504476e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,725.0,0.9,-367.959679853441,-2.2968043216451787e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,1000.0,0.01,-442.71257037294424,-2.763411864267918e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,900.0,0.02,-475.7380385398942,-2.9695568365660196e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,800.0,0.05,-419.2504632478527,-2.6169613915930965e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,700.0,0.1,-464.9886461420771,-2.902459129218845e+21,-0.0
60.0,0.03,25.0,7,1,0.5,0.15,5,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,900.0,0.2,-472.18984524036654,-2.947409013990368e+21,-0.0
60.0,0.03,25.0,7,1,0.5,0.15,5,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,850.0,0.5,-512.4565854704924,-3.198754006506814e+21,-0.0
60.0,0.03,25.0,7,1,0.5,0.15,5,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,800.0,2.0,-400.8054350428256,-2.501827525537317e+21,-0.0
63.0,0.03,23.0,6,1,0.5,0.15,3.5,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,900.0,0.5,-485.4824662033087,-3.030381554041053e+21,-0.0
63.0,0.03,23.0,6,1,0.5,0.15,3.5,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,850.0,1.0,-461.5629147906261,-2.881075714123088e+21,-0.0
63.0,0.03,23.0,6,1,0.5,0.15,3.5,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,800.0,5.0,-444.7652320841907,-2.7762245786695185e+21,-0.0
65.0,0.02,22.0,5,1,0.5,0.15,2,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,900.0,2.0,-491.0151155484685,-3.06491635125354e+21,-0.0
65.0,0.02,22.0,5,1,0.5,0.15,2,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,850.0,10.0,-427.45923950975134,-2.668200573019868e+21,-0.0
65.0,0.02,22.0,5,1,0.5,0.15,2,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,800.0,50.0,-431.8982567646952,-2.6959089187252276e+21,-0.0
68.0,0.02,20.0,5,1,0.5,0.15,0,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,900.0,100.0,-415.3629833282123,-2.5926957419347014e+21,-0.0
68.0,0.02,20.0,5,1,0.5,0.15,0,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,850.0,500.0,-437.8920128713547,-2.733321944342996e+21,-0.0
68.0,0.02,20.0,5,1,0.5,0.15,0,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,800.0,2000.0,-360.42855802415,-2.2497950591867442e+21,-0.0
60.0,0.03,25.0,7,1,0.5,0.15,5,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,750.0,10.0,-465.4502668718698,-2.905340565814211e+21,-0.0
63.0,0.03,23.0,6,1,0.5,0.15,3.5,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,750.0,20.0,-365.58280761348766,-2.28196788512339e+21,-0.0
65.0,0.02,22.0,5,1,0.5,0.15,2,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,750.0,100.0,-390.07937394422294,-2.4348754521598397e+21,-0.0
68.0,0.02,20.0,5,1,0.5,0.15,0,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,750.0,500.0,-375.44069419462255,-2.343500813162834e+21,-0.0
60.0,0.03,25.0,7,1,0.5,0.15,5,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,700.0,50.0,-423.68364283218745,-2.644633298558514e+21,-0.0
63.0,0.03,23.0,6,1,0.5,0.15,3.5,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,700.0,200.0,-433.17336800664816,-2.7038681630974977e+21,-0.0
65.0,0.02,22.0,5,1,0.5,0.15,2,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,700.0,1000.0,-468.37944090454687,-2.9236244701261815e+21,-0.0
68.0,0.02,20.0,5,1,0.5,0.15,0,0.2,0.02,0.002,1,0.5,0.05,0.01,0,0,0.0,700.0,5000.0,-434.51315075174256,-2.712231086992377e+21,-0.0
0.0,0.023,0.32,1.85,0.03,0.001,22.5,5.3,2.9,0.166,0.03,0,0,0,0,0,0,0.0,800.0,0.0,-697.3740591292923,-4.353008877085042e+21,-0.0
0.0,0.023,0.32,1.85,0.03,0.001,22.5,5.3,2.9,0.166,0.03,0,0,0,0,0,0,0.3,800.0,4.0,-710.2233780812129,-4.433214325982931e+21,1.5812164711883476e+21
0.0,0.023,0.32,1.85,0.03,0.001,22.5,5.3,2.9,0.166,0.03,0,0,0,0,0,0,1.0,800.0,5.0,-714.4752308241443,-4.4597543908043087e+21,2.0537927957361484e+22
68.434,0,21.46,5.5,1.46,0,0.166,2.98,0,0,0,0,0,0,0,0,0,0.0,650.0,0.33,-705.9634874315892,-4.4066240885479797e+21,-0.0
